# timestamp [ns],w_x [rad s^-1],w_y [rad s^-1],w_z [rad s^-1],a_x [m s^-2],a_y [m s^-2],a_z [m s^-2]
# Coordinate system: Right-Front-Up (X: Right, Y: Front, Z: Up)
1292541619000000000,0.001391061,0.004996485,-0.013855773,-0.265504839,-0.843729127,9.766035807
1292541619005000000,0.001321508,0.004746660,-0.013162985,-0.265662741,-0.848521524,9.765065743
1292541619010000000,0.001251955,0.004496836,-0.012470196,-0.265820643,-0.853313921,9.764095679
1292541619015000000,0.001182402,0.004247012,-0.011777407,-0.265978545,-0.858106318,9.763125615
1292541619020000000,0.001112849,0.003997187,-0.011084619,-0.266136447,-0.862898715,9.762155552
1292541619025000000,0.001043296,0.003747363,-0.010391830,-0.266294349,-0.867691112,9.761185488
1292541619030000000,0.000973742,0.003497538,-0.009699041,-0.266452250,-0.872483509,9.760215424
1292541619034999999,0.000904189,0.003247714,-0.009006252,-0.266610152,-0.877275905,9.759245361
1292541619039999999,0.000834636,0.002997890,-0.008313464,-0.266768054,-0.882068302,9.758275297
1292541619044999999,0.000765083,0.002748065,-0.007620675,-0.266925956,-0.886860699,9.757305233
1292541619049999999,0.000695530,0.002498241,-0.006927886,-0.267083858,-0.891653096,9.756335169
1292541619054999999,0.000625977,0.002248416,-0.006235097,-0.267241760,-0.896445493,9.755365106
1292541619059999999,0.000556424,0.001998592,-0.005542309,-0.267399661,-0.901237890,9.754395042
1292541619065000000,0.000486871,0.001748768,-0.004849520,-0.267557563,-0.906030287,9.753424978
1292541619070000000,0.000417318,0.001498943,-0.004156731,-0.267715465,-0.910822684,9.752454915
1292541619075000000,0.000347765,0.001249119,-0.003463943,-0.267873367,-0.915615081,9.751484851
1292541619080000000,0.000278212,0.000999294,-0.002771154,-0.268031269,-0.920407477,9.750514787
1292541619085000000,0.000208659,0.000749470,-0.002078365,-0.268189171,-0.925199874,9.749544723
1292541619090000000,0.000139106,0.000499646,-0.001385576,-0.268347072,-0.929992271,9.748574660
1292541619094999999,0.000069553,0.000249821,-0.000692788,-0.268504974,-0.934784668,9.747604596
1292541619099999999,-0.000000000,-0.000000003,0.000000001,-0.268662876,-0.939577065,9.746634532
1292541619104999999,-0.000001160,0.000000324,0.000011552,-0.268438658,-0.939706765,9.746628141
1292541619109999999,-0.000002319,0.000000651,0.000023102,-0.268214440,-0.939836464,9.746621751
1292541619114999999,-0.000003479,0.000000977,0.000034653,-0.267990222,-0.939966164,9.746615360
1292541619119999999,-0.000004639,0.000001304,0.000046203,-0.267766004,-0.940095864,9.746608969
1292541619125000000,-0.000005798,0.000001631,0.000057754,-0.267541785,-0.940225563,9.746602578
1292541619130000000,-0.000006958,0.000001958,0.000069305,-0.267317567,-0.940355263,9.746596188
1292541619135000000,-0.000008118,0.000002285,0.000080855,-0.267093349,-0.940484963,9.746589797
1292541619140000000,-0.000009277,0.000002612,0.000092406,-0.266869131,-0.940614662,9.746583406
1292541619145000000,-0.000010437,0.000002938,0.000103956,-0.266644913,-0.940744362,9.746577015
1292541619150000000,-0.000011596,0.000003265,0.000115507,-0.266420695,-0.940874062,9.746570624
1292541619155000000,-0.000012756,0.000003592,0.000127058,-0.266196476,-0.941003761,9.746564234
1292541619159999999,-0.000013916,0.000003919,0.000138608,-0.265972258,-0.941133461,9.746557843
1292541619164999999,-0.000015075,0.000004246,0.000150159,-0.265748040,-0.941263161,9.746551452
1292541619169999999,-0.000016235,0.000004573,0.000161709,-0.265523822,-0.941392861,9.746545061
1292541619174999999,-0.000017395,0.000004900,0.000173260,-0.265299604,-0.941522560,9.746538670
1292541619179999999,-0.000018554,0.000005226,0.000184811,-0.265075386,-0.941652260,9.746532280
1292541619184999999,-0.000019714,0.000005553,0.000196361,-0.264851168,-0.941781960,9.746525889
1292541619190000000,-0.000020873,0.000005880,0.000207912,-0.264626949,-0.941911659,9.746519498
1292541619195000000,-0.000022033,0.000006207,0.000219462,-0.264402731,-0.942041359,9.746513107
1292541619200000000,-0.000023193,0.000006534,0.000231013,-0.264178513,-0.942171059,9.746506716
1292541619205000000,-0.000022407,0.000004882,0.000223186,-0.264194207,-0.942137990,9.746509486
1292541619210000000,-0.000021621,0.000003231,0.000215359,-0.264209901,-0.942104921,9.746512256
1292541619215000000,-0.000020835,0.000001580,0.000207533,-0.264225594,-0.942071852,9.746515026
1292541619219999999,-0.000020050,-0.000000072,0.000199706,-0.264241288,-0.942038783,9.746517797
1292541619224999999,-0.000019264,-0.000001723,0.000191879,-0.264256982,-0.942005714,9.746520567
