# timestamp [ns],w_x [rad s^-1],w_y [rad s^-1],w_z [rad s^-1],a_x [m s^-2],a_y [m s^-2],a_z [m s^-2]
# Coordinate system: Right-Front-Up (X: Right, Y: Front, Z: Up)
1553742854315754999,-0.000640191,0.000455729,-0.000423177,0.000457764,0.106658936,9.884033203
1553742854325754999,-0.000488281,-0.001106771,-0.000813802,0.087738037,0.051879883,9.680175781
1553742854335755000,-0.000108507,0.000998264,0.000043403,0.108489990,0.068817139,9.691925049
1553742854345755000,-0.000542535,0.002680122,0.000162760,-0.002288818,0.109863281,9.816284180
1553742854355755000,-0.000607639,-0.001790365,-0.000575087,0.003051758,0.075073242,9.864807129
1553742854365754999,0.000162760,-0.001367187,-0.000412326,0.131530762,0.039062500,9.695434570
1553742854375754999,0.000043403,0.001996528,0.000314670,0.087738037,0.054016113,9.690093994
1553742854385754999,0.000553385,0.000640191,0.000249566,-0.013275146,0.063323975,9.851379395
1553742854395755000,0.000824653,-0.000455729,0.000086806,0.027160645,0.073852539,9.805145264
1553742854405755000,-0.000043403,0.000846354,0.000292969,0.129852295,0.067901611,9.716796875
1553742854415755000,0.000618490,0.001291233,0.000488281,0.051269531,0.054321289,9.774475098
1553742854425754999,0.000390625,-0.000043403,0.000531684,-0.003204346,0.093688965,9.826660156
1553742854435754999,-0.000282118,0.000683594,0.000466580,0.042572021,0.096740723,9.764709473
1553742854445754999,-0.000705295,0.000249566,0.000358073,0.074005127,0.065765381,9.756011963
1553742854455755000,-0.000249566,-0.001106771,0.000282118,0.048980713,0.053405762,9.786224365
1553742854465755000,-0.000108507,-0.000141059,0.000282118,0.040435791,0.069427490,9.788208008
1553742854475755000,-0.000585937,-0.000000000,0.000032552,0.027160645,0.094146729,9.763641357
1553742854485754999,-0.000325521,-0.000585937,-0.000097656,0.058898926,0.040588379,9.808807373
1553742854495754999,0.000401476,-0.000596788,-0.000314670,0.109405518,0.046844482,9.740142822
1553742854505754999,0.000531684,0.000596788,-0.000282118,0.063629150,0.042877197,9.753417969
1553742854515755000,0.000336372,0.000976562,-0.000325521,0.024566650,0.077209473,9.802703857
1553742854525755000,0.000401476,-0.000249566,-0.000531684,0.063018799,0.086975098,9.772338867
1553742854535755000,0.000401476,0.000130208,-0.000520833,0.101928711,0.072326660,9.730072021
1553742854545755000,0.000086806,0.001193576,-0.000206163,0.054473877,0.068511963,9.777221680
1553742854555754999,0.000010851,0.000434028,-0.000303819,0.025024414,0.084381104,9.807128906
1553742854565754999,-0.000184462,-0.000249566,-0.000282118,0.073394775,0.082397461,9.754028320
1553742854575754999,-0.000455729,0.000238715,-0.000032552,0.088806152,0.061035156,9.745941162
1553742854585755000,-0.000151910,0.000390625,0.000021701,0.052185059,0.054321289,9.812011719
1553742854595755000,0.000195313,-0.000347222,-0.000065104,0.037078857,0.075225830,9.789581299
1553742854605755000,0.000108507,0.000531684,-0.000054253,0.075378418,0.064392090,9.768066406
1553742854615754999,0.000303819,0.000759549,0.000108507,0.090484619,0.076293945,9.768524170
1553742854625754999,0.000716146,0.000151910,0.000108507,0.072326660,0.080566406,9.783477783
1553742854635754999,0.000488281,0.000868056,0.000086806,0.038757324,0.081481934,9.777679443
1553742854645755000,0.000292969,0.001269531,0.000043403,0.039062500,0.095977783,9.768524170
1553742854655755000,0.000292969,0.000390625,-0.000010851,0.071258545,0.081024170,9.768066406
1553742854665755000,0.000108507,0.000271267,-0.000075955,0.054321289,0.097351074,9.763336182
1553742854675754999,-0.000151910,0.000651042,0.000000000,0.018920898,0.079040527,9.768676758
1553742854685754999,-0.000249566,0.000455729,0.000010851,0.038757324,0.074768066,9.796752930
1553742854695754999,-0.000412326,-0.000054253,-0.000173611,0.057373047,0.071258545,9.767150879
1553742854705755000,-0.000292969,0.000032552,-0.000054253,0.058746338,0.071105957,9.769287109
1553742854715755000,-0.000260417,0.000054253,-0.000021701,0.047607422,0.080871582,9.783630371
1553742854725755000,0.000173611,-0.000021701,-0.000054253,0.041809082,0.051422119,9.792785645
1553742854735754999,0.000466580,0.000130208,-0.000151910,0.070190430,0.065155029,9.754791260
1553742854745754999,0.000683594,0.000249566,0.000000000,0.063323975,0.054473877,9.776763916
1553742854755754999,0.000835503,0.000162760,0.000021701,0.027923584,0.063629150,9.776763916
1553742854765755000,0.000531684,0.000108507,0.000043403,0.029907227,0.081329346,9.776763916
1553742854775755000,0.000108507,0.000401476,0.000271267,0.063018799,0.080566406,9.756469727
1553742854785755000,-0.000097656,0.000043403,0.000292969,0.064697266,0.083618164,9.773254395
1553742854795755000,-0.000401476,-0.000509983,0.000282118,0.051422119,0.074615479,9.786224365
1553742854805754999,-0.000618490,-0.000173611,0.000282118,0.061798096,0.066070557,9.775238037
1553742854815754999,-0.000542535,0.000206163,0.000249566,0.070190430,0.064239502,9.766387939
1553742854825754999,-0.000043403,-0.000010851,0.000065104,0.067443848,0.063018799,9.788665771
1553742854835755000,0.000238715,-0.000032552,-0.000206163,0.085449219,0.053710938,9.775085449
1553742854845755000,0.000455729,0.000227865,-0.000195313,0.065917969,0.047149658,9.774780273
1553742854855755000,0.000585937,0.000531684,-0.000260417,0.058898926,0.073852539,9.776763916
1553742854865754999,0.000466580,0.000683594,-0.000238715,0.088806152,0.074768066,9.789123535
1553742854875754999,0.000238715,0.000683594,-0.000292969,0.079650879,0.096893311,9.783477783
